!Well data 

START VLPTABLE SAT1
!glift	pwh	qg	qo	qw
!1000*m³/d	kgf/cm²	1000*m³/d	m³/d	m³/d
	
40.00	75.00	98.69432	673.10	170.7009277
40.00	85.00	92.09546	597.43	151.5094365
40.00	90.00	86.86128	537.40	136.2868497
40.00	95.00	83.17272	495.10	125.5593958
40.00	100.00	79.55392	453.60	115.0348251
40.00	110.00	72.58664	373.70	94.77185659
40.00	120.00	66.04664	298.70	75.7515482
60.00	40.00	145.1842267	976.88	247.7416301
60.00	45.00	142.0232267	940.63	238.548481
60.00	50.00	138.84624	904.20	229.3088379
60.00	55.00	135.7332	868.50	220.2551711
60.00	65.00	129.3792267	795.63	201.7758848
60.00	75.00	122.14744	712.70	180.7436505
60.00	85.00	116.0039924	642.25	162.876637
60.00	90.00	110.82016	582.80	147.8004764
60.00	95.00	107.20136	541.30	137.2759057
60.00	100.00	103.6872	501.00	127.05566
60.00	110.00	96.89432	423.10	107.2998997
60.00	120.00	90.4328	349.00	88.50783503

END VLPTABLE


START VLPTABLE MB1
!glift	pwh	qg	qo	qw
!1000*m³/d	kgf/cm²	1000*m³/d	m³/d	m³/d
	
20.00	40.00	101.641	936.25	237.4368497
20.00	45.00	97.7388	891.50	226.0880657
20.00	50.00	94.1636	850.50	215.6902971
20.00	55.00	90.31808	806.40	204.5063558
20.00	65.00	82.64884	718.45	182.2018741
20.00	75.00	73.51464	613.70	155.6368434
20.00	85.00	66.55833267	533.93	135.4057867
20.00	90.00	61.30664	473.70	120.1322678
20.00	95.00	57.18208	426.40	108.1367933
20.00	100.00	53.30168	381.90	96.8514103
20.00	110.00	45.88968	296.90	75.2950608
20.00	120.00	39.27992	221.10	56.07186912
40.00	40.00	123.69892	959.85	243.4219067
40.00	45.00	120.224	920.00	233.3157829
40.00	50.00	117.0412	883.50	224.0592328
40.00	55.00	113.5968	844.00	214.0418704
40.00	65.00	106.77776	765.80	194.2100288
40.00	75.00	98.69432	673.10	170.7009277
40.00	85.00	92.09546	597.43	151.5094365
40.00	90.00	86.86128	537.40	136.2868497
40.00	95.00	83.17272	495.10	125.5593958
40.00	100.00	79.55392	453.60	115.0348251
40.00	110.00	72.58664	373.70	94.77185659
40.00	120.00	66.04664	298.70	75.7515482
60.00	40.00	145.1842267	976.88	247.7416301
60.00	45.00	142.0232267	940.63	238.548481
60.00	50.00	138.84624	904.20	229.3088379
60.00	55.00	135.7332	868.50	220.2551711
60.00	65.00	129.3792267	795.63	201.7758848
60.00	75.00	122.14744	712.70	180.7436505
60.00	85.00	116.0039924	642.25	162.876637
60.00	90.00	110.82016	582.80	147.8004764
60.00	95.00	107.20136	541.30	137.2759057
60.00	100.00	103.6872	501.00	127.05566
60.00	110.00	96.89432	423.10	107.2998997
60.00	120.00	90.4328	349.00	88.50783503

END VLPTABLE


START VLPTABLE MB2
!glift	pwh	qg	qo	qw
!1000*m³/d	kgf/cm²	1000*m³/d	m³/d	m³/d
	
20.00	40.00	101.641	936.25	237.4368497
20.00	45.00	97.7388	891.50	226.0880657
20.00	50.00	94.1636	850.50	215.6902971
20.00	55.00	90.31808	806.40	204.5063558
20.00	65.00	82.64884	718.45	182.2018741
20.00	75.00	73.51464	613.70	155.6368434
20.00	85.00	66.55833267	533.93	135.4057867
20.00	90.00	61.30664	473.70	120.1322678
20.00	95.00	57.18208	426.40	108.1367933
20.00	100.00	53.30168	381.90	96.8514103
20.00	110.00	45.88968	296.90	75.2950608
20.00	120.00	39.27992	221.10	56.07186912
40.00	40.00	123.69892	959.85	243.4219067
40.00	45.00	120.224	920.00	233.3157829
40.00	50.00	117.0412	883.50	224.0592328
40.00	55.00	113.5968	844.00	214.0418704
40.00	65.00	106.77776	765.80	194.2100288
40.00	75.00	98.69432	673.10	170.7009277
40.00	85.00	92.09546	597.43	151.5094365
40.00	90.00	86.86128	537.40	136.2868497
40.00	95.00	83.17272	495.10	125.5593958
40.00	100.00	79.55392	453.60	115.0348251
40.00	110.00	72.58664	373.70	94.77185659
40.00	120.00	66.04664	298.70	75.7515482
60.00	40.00	145.1842267	976.88	247.7416301
60.00	45.00	142.0232267	940.63	238.548481
60.00	50.00	138.84624	904.20	229.3088379
60.00	55.00	135.7332	868.50	220.2551711
60.00	65.00	129.3792267	795.63	201.7758848
60.00	75.00	122.14744	712.70	180.7436505
60.00	85.00	116.0039924	642.25	162.876637
60.00	90.00	110.82016	582.80	147.8004764
60.00	95.00	107.20136	541.30	137.2759057
60.00	100.00	103.6872	501.00	127.05566
60.00	110.00	96.89432	423.10	107.2998997
60.00	120.00	90.4328	349.00	88.50783503

END VLPTABLE



